Account,total_pnl,avg_pnl,median_pnl,win_rate,trade_count,avg_size_usd,pnl_std,total_fees,avg_fee_ratio,long_pct,short_pct,avg_sentiment,unique_coins,profit_factor,sharpe,contrarian_ratio,cluster,x,y
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,12.130967972884141,0.0,0.35344524005164923,8519,517.5289235825802,88.29284150392282,1230.8465211819,0.00029739690313202724,0.17502054231717337,0.6077004343232774,65.95480690221856,68,83.96149672809402,0.13739469436313437,0.5738936494893767,2,-0.3161643213504267,-0.20786308474457027
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,155.58931373806246,0.0,0.48622589531680444,4356,9084.699093204776,855.3540027082513,8025.99239419,0.0002216057265586814,0.897842056932966,0.09664830119375574,42.36730945821855,12,84.44401855322214,0.18190049177934542,0.5401744719926538,0,1.1752892743173722,1.789402205732956
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,0.0,0.3603639240506329,7584,17098.171054852322,656.6936282172401,40724.467403,0.0003191154368138402,0.734704641350211,0.26252637130801687,60.472573839662445,24,7.586983683750742,0.06203880683434793,0.3454641350210971,0,-0.749655583485914,1.2404610426573428
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,0.0,0.40119320039228507,12236,34396.58028440667,639.4024436908079,76424.64289169,0.00018804972652035527,0.7178816606734227,0.20243543641712977,45.983491337038245,4,10.996748213885118,0.10741970105333314,0.3965348152991174,0,-0.5715533065228271,2.6288110313318303
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,0.0,0.4317948717948718,975,746.7256512820513,468.99598178257963,186.8360769324,0.00024641216888258966,0.01641025641025641,0.38461538461538464,50.012307692307694,17,581.960500119795,0.23778284041019696,0.06974358974358974,1,1.2617802737423067,-1.8084836167999334
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,270.0349471163522,0.0,0.34591194968553457,1590,7216.667245283019,2525.2404372348287,1551.43726629,0.00011053918669262243,0.3955974842767296,0.4849056603773585,45.82641509433962,6,276.7469721426321,0.10693435093730877,0.5352201257861635,1,0.9871437866548242,0.17620782550394254
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,281.8262266846154,0.0,0.3062937062937063,1430,2133.6673636363635,1591.523957653427,290.01104816,9.563579555785816e-05,0.12867132867132866,0.8594405594405594,50.03300561797753,26,1389.6419005963432,0.17707947488276915,0.5881118881118881,1,1.5490817851555283,-0.514937265303902
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,7.722845,0.8108763772364298,9893,2600.7780491256444,172.52077341762578,2595.25914168,0.00014710553946692114,0.48539371272617005,0.5113716769432932,62.944910542808046,98,146.07227487332867,0.22211562818548053,0.4333367027190943,0,0.9046683856523018,1.0293652103080204
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,9.557692781911483,0.0,0.45221295702373315,1559,3748.8675112251444,72.5611952371814,780.21690296,0.00011984848277336097,0.24759461193072482,0.6927517639512508,27.763951250801796,7,19.097821375659063,0.13171906486201296,0.1994868505452213,2,-0.004773896608835845,-0.9187747947053158
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-36.43145507085416,0.0,0.38274288198217776,4601,2204.6855314062163,1647.7789842055993,1579.38545192,0.0001315955858890187,0.15931319278417735,0.8348185177135405,50.056726798522064,7,-106.13059945387572,-0.022109430585084147,0.4492501630080417,2,-1.634562561936571,-0.7828713863576845
