date,total_pnl,avg_pnl,trade_count,total_volume,avg_size,long_count,short_count,win_rate,sentiment_value,classification,cumulative_pnl,pnl_ma_7
2024-04-12,-592.6458390000001,-4.594153790697676,129,442088.59,3427.0433333333335,114,15,0.5503875968992248,79.0,Extreme Greed,184459.77397,922.7575104285714
2024-04-13,6621.451755,74.3983343258427,89,486411.25,5465.294943820225,63,26,0.6853932584269663,72.0,Greed,191081.225725,1834.9170277142857
2024-04-14,-36104.012520000004,-337.4206777570094,107,659162.17,6160.394112149533,80,27,0.308411214953271,72.0,Greed,154977.21320499998,-3322.799046571429
2024-04-15,3774.08872,92.05094439024391,41,291111.19,7100.272926829269,27,14,0.8536585365853658,74.0,Greed,158751.30192499998,-2957.7044722857145
2024-04-16,2467.702221,52.504302574468085,47,181907.17,3870.3653191489366,14,31,0.9148936170212766,65.0,Greed,161219.004146,-2605.175583571429
2024-04-17,2441.4683999999997,174.39059999999998,14,97562.99,6968.785000000001,0,14,0.9285714285714286,67.0,Greed,163660.472546,-3000.3148712857146
2024-04-19,1946.4454620000001,55.61272748571429,35,337257.92000000004,9635.940571428573,32,3,0.7714285714285715,66.0,Greed,165606.918008,-2777.928828714286
2024-04-20,0.0,0.0,22,60733.24,2760.601818181818,0,2,0.0,66.0,Greed,165606.918008,-2693.2651374285715
2024-04-22,0.0,0.0,9,47993.61,5332.623333333333,0,9,0.0,73.0,Greed,165606.918008,-3639.186816714286
2024-04-23,1119.536196,16.962669636363636,66,233054.9,3531.1348484848486,37,30,0.5303030303030303,71.0,Greed,166726.454204,1678.462999857143
2024-04-24,279.185907,13.95929535,20,141275.24,7063.762,20,0,0.3,72.0,Greed,167005.64011100002,1179.1911694285716
2024-04-25,0.0,0.0,74,120241.01,1624.8785135135136,6,0,0.0,72.0,Greed,167005.64011100002,826.6622807142857
2024-04-26,0.0,0.0,3,4988.290000000001,1662.7633333333335,0,0,0.0,70.0,Greed,167005.64011100002,477.88108071428576
2024-04-27,4281.488139,158.57363477777778,27,154264.47,5713.498888888889,19,8,0.7037037037037037,67.0,Greed,171287.12825,811.458606
2024-04-28,0.0,0.0,58,43985.6,758.3724137931034,0,8,0.0,65.0,Greed,171287.12825,811.458606
2024-04-29,526.9338359999999,11.709640799999999,45,108699.01,2415.5335555555553,7,24,0.37777777777777777,67.0,Greed,171814.06208600002,886.7348682857144
2024-04-30,0.0,0.0,24,125018.75,5209.114583333333,24,0,0.0,67.0,Greed,171814.06208600002,726.8011260000001
2024-05-01,0.0,0.0,14,87025.45,6216.103571428571,14,0,0.0,54.0,Neutral,171814.06208600002,686.917425
2024-05-03,5306.017045,147.3893623611111,36,282682.64999999997,7852.295833333333,18,12,0.4722222222222222,48.0,Neutral,177120.079131,1444.91986
2024-05-04,0.0,0.0,9,58998.75,6555.416666666667,0,9,0.0,67.0,Greed,177120.079131,1444.91986
2024-05-05,0.916,0.15266666666666667,6,24068.350000000002,4011.391666666667,0,6,0.16666666666666666,69.0,Greed,177120.995131,833.4095544285714
2024-05-06,968.59038,107.62115333333333,9,206016.43,22890.714444444442,4,5,0.4444444444444444,71.0,Greed,178089.585511,971.7796087142857
2024-05-07,883.537693,49.08542738888889,18,108717.58,6039.865555555556,5,8,0.5,68.0,Greed,178973.123204,1022.7230168571429
2024-05-08,1.56576,0.12044307692307693,13,65973.57,5074.89,12,1,0.07692307692307693,64.0,Greed,178974.688964,1022.9466968571429
2024-05-09,1147.595856,40.985566285714285,28,221966.12,7927.361428571428,20,5,0.39285714285714285,55.0,Greed,180122.28482,1186.8889619999998
2024-05-10,2101.741695,95.53371340909092,22,156882.0,7131.0,10,12,0.2727272727272727,66.0,Greed,182224.026515,729.1353405714286
2024-05-11,251.604742,27.956082444444444,9,63248.95,7027.661111111111,9,0,1.0,53.0,Neutral,182475.631257,765.0788751428572
2024-05-12,0.0,0.0,23,55179.56,2399.111304347826,17,0,0.0,56.0,Greed,182475.631257,764.9480179999999
2024-05-13,2136.853859,76.31620925,28,193118.9,6897.103571428571,15,10,0.35714285714285715,57.0,Greed,184612.485116,931.8428007142858
2024-05-14,1150.5233050000002,50.02275239130436,23,145853.4,6341.452173913043,19,4,0.17391304347826086,66.0,Greed,185763.008421,969.9836024285714
2024-05-15,948.970582,26.360293944444447,36,234922.57,6525.626944444444,24,12,0.4722222222222222,64.0,Greed,186711.97900300001,1105.3271484285713
2024-05-16,214.5898,7.94777037037037,27,162620.96,6022.998518518518,9,15,0.18518518518518517,70.0,Greed,186926.568803,972.0405689999999
2024-05-18,3522.3946610000003,140.89578644000002,25,126303.14,5052.1256,9,16,0.64,73.0,Greed,190448.963464,1174.9909927142858
2024-05-19,0.0,0.0,8,29998.09,3749.76125,8,0,0.0,72.0,Greed,190448.963464,1139.0474581428573
2024-05-20,-74.818442,-7.4818442,10,38124.75,3812.475,10,0,0.0,70.0,Greed,190374.145022,1128.3591092857143
2024-05-21,7289.397571999999,58.31518057599999,125,1100948.59,8807.588720000002,32,93,0.112,76.0,Extreme Greed,197663.542594,1864.4367825714285
2024-05-22,0.0,0.0,6,44995.29,7499.215,0,6,0.0,76.0,Extreme Greed,197663.542594,1700.0763104285713
2024-05-23,413.347329,1.2718379353846154,325,401850.6,1236.4633846153845,90,236,0.4461538461538462,76.0,Extreme Greed,198076.889923,1623.5587028571426
2024-05-24,821.949278,410.974639,2,50811.899999999994,25405.949999999997,2,0,1.0,74.0,Greed,198898.839201,1710.3243425714284
2024-05-25,14.126038999999999,0.8828774374999999,16,29991.129999999997,1874.4456249999998,2,14,0.3125,76.0,Extreme Greed,198912.96524,1209.1431108571428
2024-05-26,778.6839,48.66774375,16,53976.67,3373.541875,2,14,0.25,75.0,Extreme Greed,199691.64914,1320.383668
2024-05-27,1129.35587,4.499425776892431,251,151115.72,602.0546613545816,0,251,0.35856573705179284,74.0,Greed,200821.00501,1492.4085697142855
2024-05-29,277.791953,1.6938533719512194,164,84268.76,513.8339024390243,15,144,0.4146341463414634,72.0,Greed,201098.796963,490.7506241428572
2024-05-30,20.951433,2.9930618571428576,7,2838.09,405.4414285714286,0,7,0.7142857142857143,73.0,Greed,201119.748396,493.74368599999997
2024-05-31,25.35812,1.9506246153846154,13,3636.14,279.70307692307694,0,13,0.3076923076923077,73.0,Greed,201145.106516,438.31665614285714
2024-06-01,91.510419,3.66041676,25,12834.62,513.3848,0,25,0.36,72.0,Greed,201236.616935,333.96824771428567
2024-06-02,192.906947,2.074268247311828,93,29464.51,316.822688172043,0,93,0.3655913978494624,73.0,Greed,201429.523882,359.5083774285714
2024-06-03,562.808208,8.040117257142859,70,21466.86,306.66942857142857,0,70,0.6285714285714286,73.0,Greed,201992.33209,328.6689928571429
2024-06-04,52.211438,0.9851214716981133,53,24243.41,457.42283018867926,0,53,0.4716981132075472,73.0,Greed,202044.543528,174.79121685714287
